Country,injury_severity,aircraft_damage,aircraft_category,number_of_engines,engine_type,flight_purpose,weather_condition,fatal_injuries,serious_injuries,minor_injuries,uninjured,Year,make_model
United States,Fatal(1),Substantial,Airplane,1.0,Reciprocating,Personal,VMC,1.0,1.0,0.0,0.0,2001,Henry Pelican
France,Fatal(3),Destroyed,Airplane,1.0,Reciprocating,Unknown,Unknown,3.0,0.0,0.0,0.0,2001,Mooney M20E
United States,Fatal(1),Substantial,Airplane,1.0,Reciprocating,Personal,VMC,1.0,0.0,0.0,0.0,2001,Piper PA-28-181
United States,Fatal(1),Destroyed,Airplane,1.0,Reciprocating,Personal,VMC,1.0,1.0,0.0,0.0,2001,Moravan Zlin 526F
United States,Fatal(2),Substantial,Airplane,1.0,Reciprocating,Unknown,VMC,2.0,2.0,0.0,0.0,2002,Cessna A185F
United States,Fatal(1),Destroyed,Airplane,1.0,Reciprocating,Skydiving,VMC,1.0,2.0,2.0,1.0,2003,Cessna 182H
United States,Fatal(1),Substantial,Airplane,1.0,Turbo Prop,Personal,VMC,1.0,1.0,1.0,0.0,2003,Beech A36TC
United States,Fatal(1),Destroyed,Airplane,1.0,Reciprocating,Personal,VMC,1.0,1.0,0.0,0.0,2003,Piper PA-28-140
United States,Fatal(13),Destroyed,Airplane,2.0,Turbo Prop,Unknown,IMC,13.0,2.0,0.0,0.0,2004,British Aerospace Jetstream 32
United States,Fatal(1),Substantial,Airplane,1.0,Reciprocating,Skydiving,VMC,1.0,4.0,1.0,0.0,2004,Cessna P206
United States,Non-Fatal,Substantial,Airplane,2.0,Turbo Fan,Unknown,VMC,0.0,4.0,9.0,0.0,2005,Bombardier CL-600-1A11
United States,Incident,Unknown,Airplane,2.0,Turbo Fan,Unknown,IMC,0.0,0.0,0.0,80.0,2005,Boeing 717-200
United States,Non-Fatal,Substantial,Airplane,4.0,Turbo Fan,Unknown,VMC,0.0,0.0,2.0,338.0,2005,Boeing 747-200
United States,Incident,Minor,Airplane,2.0,Turbo Jet,Unknown,VMC,0.0,0.0,0.0,146.0,2005,Airbus Industrie A320
United States,Fatal(1),Substantial,Airplane,1.0,Turbo Prop,Aerial Application,VMC,1.0,1.0,0.0,0.0,2006,Ayres S2R
United States,Fatal(1),Substantial,Airplane,1.0,Turbo Prop,Aerial Application,VMC,1.0,1.0,0.0,0.0,2006,Grumman G-164A
United States,Fatal(6),Substantial,Airplane,2.0,Turbo Prop,Skydiving,VMC,6.0,2.0,0.0,0.0,2006,De Havilland DHC-6-100
United States,Fatal(1),Destroyed,Airplane,1.0,Reciprocating,Personal,IMC,1.0,3.0,0.0,0.0,2006,Cirrus SR22
United States,Fatal(2),Substantial,Airplane,1.0,Reciprocating,Personal,IMC,2.0,2.0,0.0,0.0,2006,Cirrus Design Corp. SR22
United States,Fatal(2),Destroyed,Airplane,1.0,Reciprocating,Personal,VMC,2.0,0.0,0.0,0.0,2006,Aircraft Mfg & Dev. Co. (amd) CH601XL SLSA
United States,Fatal(1),Destroyed,Airplane,1.0,Reciprocating,Personal,IMC,1.0,0.0,0.0,0.0,2006,Mooney M20R
